Element1,Element2,Pair,Hmix_BCC_eV,Hmix_FCC_eV,Hmix_HCP_eV,Hmix_BCC_kJ_mol,Hmix_FCC_kJ_mol,Hmix_HCP_kJ_mol,avg mixing enthalpy in kJ per mole
Ag,Al,Ag-Al,-0.166522515,-0.08141137,-0.150562159,-16.06698148,-7.855003714,-14.52704108,-12.81634209
Ag,As,Ag-As,-0.197404989,-0.238782392,-0.335938743,-19.04668746,-23.03900033,-32.41316379,-24.83295052
Ag,Au,Ag-Au,-0.15359091,-0.176601266,-0.149682015,-14.81927117,-17.03943322,-14.44212011,-15.43360817
Ag,Bi,Ag-Bi,0.20426469,0.078820484,0.199710501,19.70854806,7.605021174,19.26913561,15.52756828
Ag,Cd,Ag-Cd,-0.309151816,-0.180755677,-0.193275303,-29.8286181,-17.440273,-18.64823328,-21.97237479
Ag,Co,Ag-Co,1.284060205,1.371290514,1.411563112,123.8929855,132.3094315,136.1951468,130.7991879
Ag,Cr,Ag-Cr,2.072801589,1.26117182,0.950917645,199.994966,121.6845919,91.74961229,137.8097234
Ag,Cu,Ag-Cu,0.405849799,0.414710629,0.422804973,39.15855582,40.01349602,40.79448153,39.98884445
Ag,Fe,Ag-Fe,1.338310985,0.972888974,0.97451929,129.1273904,93.86952341,94.02682503,105.6745796
Ag,Ga,Ag-Ga,-0.030768787,-0.026647921,-0.0514612,-2.968736923,-2.571133742,-4.965251379,-3.501707348
Ag,Ge,Ag-Ge,0.06062775,0.060958696,0.101206331,5.849689072,5.881620534,9.764927281,7.165412296
Ag,Hf,Ag-Hf,-0.06773666,0.151114616,0.305410485,-6.535594671,14.58034513,29.46763448,12.50412831
Ag,Hg,Ag-Hg,0.272890495,0.290212408,0.288664389,26.32993219,28.00124281,27.85188169,27.39435223
Ag,In,Ag-In,0.026101984,0.071513761,0.030651177,2.518458777,6.900029569,2.957389282,4.125292543
Ag,Ir,Ag-Ir,0.422715248,1.449614,1.296812139,40.78582438,139.8664997,125.1233601,101.9252281
